Name,Industry,Industry 2,Industry 3,Country,Description,Domain,company_email,phone,Founder,Funding type,Last Equity Funding Amount,Funding Type,Total Equity Funding Amount,Investory,Investor 2,Investor 3,Investor 4 ,Investor,Monthly Visits,Average Visits (6 months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank
Honeypot Software,Marketing Automation,SaaS,Software,United States,Honeypot is a cutting-edge marketing technology company.,honeypotsoftware.com,dawn@honeypotsoftware.com,—,,Early Stage Venture,"$1,00,00,000.00",Series A,"$1,00,00,000.00",,,,,,—,—,—,—,—,—,—,—,—
Qatch,Big Data,E-Commerce,Retail Technology,United States,Qatch is a data-driven marketing channel connecting brands to new customers via text.,www.joinqatch.com,hello@qatchcode.com,—,Raquel Phillips,Seed,"$9,00,000.00",Pre-Seed,"$16,18,000.00",XRC Ventures,TBD Angels,For Later,,,"19,251","55,460.83",15.25%,160,110.53%,1.51%,92.79%,0.8%,"10,67,934"
DifferentKind,Health Care,Information Technology,SaaS,United States,DifferentKind is an enterprise SaaS solution that enables dental professionals to measure and improve patient outcomes and experiences.,differentkind.com,hello@differentkind.com,719-626-1378,Matthew Allen,Seed,"$2,99,997.00",Seed,"$9,94,996.00",Fireroad,SMILE Health,,,,"6,317","3,596.33",-49.73%,0,746.67%,-8.18%,100%,1.46%,"24,84,363"
Axe,Artificial Intelligence (AI),Procurement,Software,United Kingdom,Axe is a software firm that develops procurement software for businesses.,joinaxe.io,tech@joinaxe.com,—,,Seed,"€15,00,000.00",Pre-Seed,"€15,00,000.00",Accel,Pitchdrive,Enterprise Ireland,Lorenz Bogaert,Colm Lyon,—,—,—,—,—,—,—,—,—
VSL Labs,3D Technology,Artificial Intelligence (AI),Assistive Technology,Israel,VSL Labs is a SaaS company that offers generative AI for real-time sign language translation services.,www.vsllabs.com/,office@vsllabs.com,+972 72-2452000,Tal Meged,Seed,—,Grant,"$42,00,000.00","Israel's Ministry Of Industry, Trade & Labor",,,,,407,—,123.63%,58,-95.08%,-13.62%,54.3%,8.6%,"99,20,143"
Brainspace,Enterprise Software,Knowledge Management,Semantic Search,United States,"Brainspace is a pioneer in creating software that derives meaning from human communication, intelligently connecting people and knowledge.",brainspace.revealdata.com,info@brainspace.com,(469)828-8210,David Copps,M&A,"$20,00,00,000.00",Private Equity,"$21,00,40,000.00",IQT,K1 Investment Management,Green Park & Golf Ventures,Medina Capital,,—,—,—,—,—,—,—,—,—
Kurtosis,Information Technology,Professional Services,Software,United States,Kurtosis gives developers the tools to create and manipulate customized development environments.,www.kurtosis.com/,—,—,Kevin Today,Early Stage Venture,"$2,00,00,000.00",Series A,"$2,25,00,000.00",Hustle Fund,Coatue,MANTIS Venture Capital,Coinbase Ventures,Figment,514,651.33,141.31%,457,204.67%,-29.42%,50.19%,196.98%,"88,49,002"
Maxwell.app,Apps,Human Resources,Service Industry,United States,Maxwell.app provides software development services.,www.maxwell.app,max@maxwell.app,(402) 540-7830,Stephen Enke,Seed,"$1,50,000.00",Non-equity Assistance,"$8,70,000.00",Techstars,Invest Nebraska,Google for Startups Latino Founders Fund,,,"1,829","3,588.83",-81.89%,801,"11,342.86%",46.16%,42.48%,"11,700%","49,99,520"
Defog,Artificial Intelligence (AI),Developer Tools,Information Technology,United States,Defog is a natural language data query platform that allows users to ask free-form data questions through large language models.,defog.ai,founders@defog.ai,—,Rishabh Srivastava,Seed,"$22,00,000.00",Seed,"$27,00,000.00",Y Combinator,Script Capital,Pioneer Fund,Davidovs Venture Collective,Dharmesh Shah,"1,869","1,973.17",59.2%,229,138.54%,9.45%,33.92%,-47.12%,"49,52,948"
Artifact,Analytics,Machine Learning,Natural Language Processing,United States,Artifact is a developer of a qualitative data insights platform used to understand customer needs.,www.artifact.io,nate@artifact.io,—,Nate Sanders,Seed,—,Pre-Seed,"$72,80,000.00",South Park Commons,WndrCo,Liquid 2 Ventures,Buckley Ventures,EPIC Ventures,285,182.83,-41.24%,17,-98.56%,21.75%,78.25%,-21.75%,"1,19,15,990"
Noxus,Generative AI,SaaS,,United Kingdom,One Platform. All Things Enterprise AI.,www.noxus.ai/,help@noxus.ai,—,Joao Pedro Almeida,Seed,"£13,00,000.00",Pre-Seed,"£13,00,000.00",Antler,SFC Capital,AltaIR Capital,Bynd Venture Capital,Yellow Rocks!,"3,614","4,420.33",-40.67%,237,-70.96%,-51.22%,71.86%,44.65%,"35,63,599"
Autosana,Artificial Intelligence (AI),Developer Tools,Software,United States,Autosana offers an AI-powered mobile app quality assurance platform that automates end-to-end testing using natural language instructions.,autosana.ai,founders@autosana.ai,—,Yuvan Sundrani,Seed,—,Seed,"$5,00,000.00",Y Combinator,Team Ignite Ventures,Pioneer Fund,,,"2,179","3,335.5",105.57%,261,506.98%,70.36%,47.54%,-42.67%,"46,28,841"
OnDeck AI,Artificial Intelligence (AI),B2B,Information Technology,Canada,OnDeck AI is a Software Development firm offering next generation visual intelligence for security services and government.,ondeckai.com/,info@ondeck-ai.com,—,Sepand Dyanatkar,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,Google for Startups,Canada's Ocean Supercluster,Ocean Startup Project,Dempsey Startup Competition,"3,589",628.5,263.26%,96,-52.24%,109.55%,54.28%,-33.3%,"35,78,054"
Brevian,Artificial Intelligence (AI),Information Technology,Software,United States,Brevian is a sales intelligence platform that transforms sales process and help close deals faster and more effectively.,brevian.ai/,info@brevian.ai,—,Ram Swaminathan,Seed,"$90,00,000.00",Seed,"$90,00,000.00",Felicis,,,,,"2,503","1,012.83",235.97%,401,-49.56%,15.57%,30%,3.48%,"43,37,206"
Blee,Analytics,Artificial Intelligence (AI),B2B,United States,Blee is an artficial intelligence company that offers a platform to review marketing materials and access compliance reports.,www.blee.com/,info@blee.com,—,,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,,,,,687,"1,356.33",-20.21%,62,-36.73%,86.91%,57.35%,-33.81%,"77,05,167"
DevAlly,Software,,,Ireland,AI Driven Accessibility Compliance Management,devally.com,—,—,Darren Britton,Seed,"€20,00,000.00",Pre-Seed,"€20,00,000.00",Enterprise Ireland,NDRC,Miles Ahead,,,"8,728",—,1.76%,"1,278",27.8%,112.25%,10.47%,-57.88%,"19,70,634"
Riff Analytics,Analytics,Artificial Intelligence (AI),Information Technology,United States,Riff Analytics is a collaboration tool that provides AI-powered behavioral analytics to improve meeting participant experience and outcomes.,riffanalytics.ai/,info@riffanalytics.ai,+1 617 340 9993,Beth Porter,M&A,"$9,91,417.00",Grant,"$21,72,856.00",National Science Foundation,Chloe Capital,LearnLaunch Fund + Accelerator,,,404,—,—,"1,163",—,—,63.12%,—,"99,53,529"
Rauda AI,Artificial Intelligence (AI),Customer Service,,Spain,Scale your customer service with artificial intelligence,www.rauda.ai/en,—,—,Jorge Tercero,Seed,"€24,00,000.00",Seed,"€32,20,000.00",Bonsai Partners,JME Ventures,Demium Capital,Fides Capital,Juanjo Mostazo,553,871,-28.27%,197,-61.07%,58.86%,51.18%,-16.4%,"85,38,212"
Culturewell,Health Care,Hospital,Life Science,United States,Infection Risk Mitigation,www.getculturewell.com,hello@getculturewell.com,734/822-7922,,Seed,"$14,00,000.00",Seed,"$14,00,000.00",Michigan Rise,,,,,—,—,—,—,—,—,—,—,—
Ceviche,Artificial Intelligence (AI),Business Process Automation (BPA),Finance,United States,Audit-grade expense allocation for private equity,www.ceviche.ai/,operations@ceviche.ai,(408) 203-9732,,Seed,"$7,50,000.00",Pre-Seed,"$7,50,000.00",Forum Ventures,Right Side Capital Management,Mucker Capital,Suhit Gupta,,—,—,—,—,—,—,—,—,—
GoLogic,Delivery,Food and Beverage,Food Delivery,United States,"GoLogic creates turnkey, digital solutions for small businesses to increase revenue opportunities and deepen customer relationships.",gologicsolutions.com/,—,—,,Seed,—,Non-equity Assistance,"$3,00,000.00",Techstars,Google for Startups,TechRise Chicago,,,—,—,—,—,—,—,—,—,—
Prediction Guard,Artificial Intelligence (AI),Software,Software Engineering,United States,Prediction Guard offers a secure GenAI platform that protects sensitive data and integrates easily into software applications.,predictionguard.com,—,+1 765 409 5758,,Seed,"$37,00,000.00",Seed,"$37,00,000.00",Sovereign’s Capital,M25,Blu Venture Investors,Launch Factory,Service Provider Capital,925,762.83,75.19%,4,-85.19%,-3.55%,90.16%,26.95%,"67,37,244"
Freepress.ai,Business Development,Business Intelligence,Software,Finland,"Freepress.ai Follow news around the world in clear, bite-sized stories in your own language.",freepress.ai/,—,—,,Seed,"€10,00,000.00",Seed,"€10,00,000.00",Stephen Industries,,,,,960,—,-89.13%,4,-96.69%,-55.66%,80%,288.92%,"66,25,030"
Sherloq,Artificial Intelligence (AI),Big Data,Collaboration,United States,Sherloq is a data management platform to collaborate and manage SQL data with help of AI.,sherloqdata.io,hello@sherloqdata.io,—,Nadav Gutman,Seed,"$22,00,000.00",Seed,"$22,00,000.00",Y Combinator,F2 Venture Capital,fresh.fund,,,"1,019",561,56.05%,31,40.91%,-12.87%,81.35%,12.55%,"64,53,731"
XEROTECH LTD,Artificial Intelligence (AI),Assistive Technology,Augmented Reality,United Kingdom,Privacy-first AI workspace combining 6 providers and 20+ models in one interface.,xerotech.io,ceo@xerotech.io,+44 7466 889188,Noman Shah,Seed,"£10,000.00",Pre-Seed,"£1,50,000.00",Hassan Karim,,,,,—,—,—,—,—,—,—,—,—
SLNG,Artificial Intelligence (AI),Information Technology,Machine Learning,United Kingdom,SLNG developes a speech AI infrastructure designed to integrate tools for multilingual and regionally compliant speech AI deployment.,www.slng.ai/,sales@slng.ai,—,,Seed,"€33,00,000.00",Pre-Seed,"€33,00,000.00",Earlybird Venture Capital,,,,,"2,417",—,-76.02%,183,8.28%,37.36%,69.71%,-23.14%,"44,11,039"
Mariposa,Elder Care,Health Care,Mobile Apps,United States,"Mariposa provides technology, mobile apps, and tools to connect seniors for home care, schedule, and coordinate care.",www.mariposa.care,info@mariposa.care,1-415-806-3121,,Seed,"$1,50,000.00",Pre-Seed,"$1,50,000.00",Right Side Capital Management,,,,,682,—,-28.66%,982,-9.33%,-33.31%,40.32%,201.12%,"77,29,552"
Annovis Bio,Biotechnology,Developer Platform,Therapeutics,United States,"Annovis Bio develops novel treatments for Alzheimer’s disease, Parkinson’s disease, and other neurodegenerative disorders.",annovisbio.com/,info@annovisbio.com,(610)727-3913,,IPO,"$34,25,000.00",Post-IPO Equity,"$10,47,52,360.00",Ben Franklin Technology Partners of Southeastern Pennsylvania,BioAdvance,ThinkEquity Partners,BofA Securities,Robin Hood Ventures,"4,608","4,882.83",-69.09%,481,-45.53%,63.29%,30.79%,-64.6%,"30,56,767"
Nala Earth,Water,Web Development,,Germany,Nala Earth provides data and tools that enable businesses to better understand and connect with the natural world.,www.nala.earth,info@nala.earth,—,,Seed,"€38,00,000.00",Seed,"€55,00,000.00",Founderful,Pale blue dot,IRIS,Voyagers,KOMPAS VC,"1,163",751.33,167.36%,87,-50.57%,-39.31%,63.8%,24.46%,"60,86,461"
SkillBank,Communities,Continuing Education,E-Learning,United States,A 1:1 mentorship and training program for entry-level marketing roles.,www.joinskillbank.com/,hello@joinskillbank.com,—,,Early Stage Venture,—,Series A,"$15,59,000.00",Hustle Fund,LAUNCH,Goodwater Capital,Hawke Ventures,Soma Capital,—,—,—,—,—,—,—,—,—
Plastiks,Blockchain,CleanTech,GreenTech,Spain,"Plastiks uses blockchain to verify and track plastic recovery data, ensuring transparency and combating greenwashing in recycling.",www.plastiks.io/,andre@plastiks.io,34685126775,Daniel Garcia Perez,Seed,"$5,00,000.00",Grant,"$22,83,644.00",Startupbootcamp Australia,Project Catalyst,,,,"16,837","11,209.5",30.47%,658,0.77%,-26.39%,68.95%,31.86%,"11,84,186"
Claimy,Art,Music,Software,France,Claimy is an online platform that helps music publishers and songwriters to track thier copyright.,www.claimy.co/,contact@claimy.co,—,,Seed,"€15,00,000.00",Pre-Seed,"€15,00,000.00",Bpifrance,AGORANOV,Jean-Baptiste Hironde,Flavien Kulawik,CNM - Centre national de la musique,451,—,-82.99%,22,-78.22%,14.29%,69.18%,0.65%,"94,26,110"
Nodat,Advertising,Artificial Intelligence (AI),B2B,United States,Nodat is an AI-powered consent-based marketing platform that helps marketers reach the right customers .,nodatplace.com,aireka@nodatplace.com,—,,Seed,"$2,25,000.00",Grant,—,Beta Boom,AWS Impact Accelerator,,,,54,—,—,0,—,—,100%,—,"2,34,09,896"
Yoom,Content,Digital Media,Virtual Reality,Israel,Yoom developing a method and system to generate high quality Free Viewpoint Video (FVV) content,www.yoom.com,marketing@tetavi.com,—,,Early Stage Venture,"$1,50,00,000.00",Series A,"$3,90,00,000.00",Insight Partners,OurCrowd,Nimble Ventures,Maverick Carter,Jimmy Iovine,—,—,—,—,—,—,—,—,—
Chezie,Human Resources,Service Industry,Software,United States,Chezie provides management software for employee resource groups.,www.chezie.co,team@chezie.co,(336) 909-1714,Toby Egbuna,—,"$2,25,000.00",Grant,—,Google for Startups,AWS Impact Accelerator,,,,748,"1,188.33",-50.59%,614,332.39%,28.74%,69.79%,101.24%,"74,09,510"
XTAO,Bitcoin,Cryptocurrency,Financial Services,Cayman Islands,XTAO's objective is to accelerate the development and use of decentralized AI.,www.xtao.co,—,—,,IPO,"$72,98,900.00",Post-IPO Equity,"$3,00,98,900.00",Republic,Borderless Capital,FalconX,Digital Currency Group,Arca,432,620.5,42.11%,3,-40%,-26.21%,90.51%,105.33%,"96,28,362"
Quantum Art,Art,Photography,Software,United States,Quantum Art is the platform focused solely on photographers and their work.,quantum.art,—,—,,Early Stage Venture,"$75,00,000.00",Series A,"$85,00,000.00",True Ventures,Wave Digital Assets,Infinite Capital,Gary Vaynerchuk,Collab+Currency,616,447,"1,953.33%",0,—,0%,100%,0%,"81,08,043"
Gumshoe AI,Artificial Intelligence (AI),Generative AI,Information Technology,United States,Gumshoe AI is revolutionizing how companies use AI-powered search.,www.gumshoe.ai,hello@gumshoe.ai,—,,Seed,"$20,00,000.00",Pre-Seed,"$20,00,000.00",Pioneer Square Labs,Hawke Ventures,Ari Paparo,,,"24,734","17,701",33.18%,805,44.01%,-12.56%,42.02%,11.79%,"8,80,501"
VoiceLine,Artificial Intelligence (AI),Information Technology,Messaging,Germany,VoiceLine is an AI-based field sales revenue intelligence tool that automates administrative tasks and provides actionable insights.,www.getvoiceline.com,hello@getvoiceline.com,—,Sebastian Maurischat,Seed,"€24,00,000.00",Seed,"€24,00,000.00",NAP,SCALEHOUSE Capital,Venture Stars,Julius Göllner,Egora Holding,191,"1,199.33",-92.12%,0,134.73%,-25.98%,100%,37.55%,"1,44,94,364"
Hirize,Artificial Intelligence (AI),Developer APIs,Machine Learning,United States,"Hirize offers advanced AI-powered APIs for SaaS platforms and enterprises, enhancing document intelligence and predictive insights.",www.hirize.ai,hello@hirize.hr,—,Esranur Kaygin,Seed,—,Grant,"$5,00,000.00",APX,DOMiNO Ventures,StartupFon,EndeavorLAB,Sankonline,513,301.33,8.69%,37,-59.78%,-3.91%,54.19%,-13.3%,"88,56,246"
Claybird,Artificial Intelligence (AI),Generative AI,Information Technology,United States,"Claybird offers an AI video ad creation agent that plans, generates, edits, and publishes ad videos from concept to release.",www.claybird.com,—,+1-6315 900 900,Saad Jamal,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,,,,,"32,963",—,348.11%,391,242.98%,-11.16%,72.53%,0.3%,"7,06,140"
Aikium Inc.,Biopharma,Life Science,Machine Learning,United States,Deep Learning x Synthetic Biology for Novel Protein Therapeutics,aikium.com,venkatesh@aikium.com,—,Shankar Shastry,Seed,"$15,00,000.00",Pre-Seed,"$40,00,000.00",Civilization Ventures,Fellows Fund,Bantam Group,Half Court Ventures,Emerald Bioventures,—,—,—,—,—,—,—,—,—
Payclair,Billing,Credit Cards,Debit Cards,United States,Payclair is the easy and affordable payments solution for businesses of all sizes.,payclair.com,hi@payclair.com,(659) 222-5247,Mahyar Babaie,Seed,"$2,50,000.00",Seed,"$2,50,000.00",Pahlevan Holdings,Redeye Group,,,,—,—,—,—,—,—,—,—,—
National Cryptocurrency Association,Blockchain,Cryptocurrency,FinTech,United States,The National Cryptocurrency Association makes the complicated world of blockchain technology easier to understand.,nca.org/,media@nca.org,+1 888-622-0607,,—,"$5,00,00,000.00",Grant,—,Ripple,,,,,"14,502","4,145.67",583.09%,332,"1,560%",19.66%,52.63%,29.03%,"13,28,242"
Flint,Software,,,United States,"AI Platform for Schools, Virtual Communication, Education Technology",flintk12.com/,lysanderquill@flintk12.tech,(0242) 322 7039,,Seed,—,Pre-Seed,—,Afore Capital,zVentures,,,,—,—,—,—,—,—,—,—,—
MCP Use,Artificial Intelligence (AI),Developer Platform,Developer Tools,United States,MCP Use provides open-source developer tools and infrastructure for the model context protocol.,mcp-use.com/,—,—,Pietro Zullo,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,Pioneer Fund,,,,"3,839","8,559.33",-59.27%,472,-9.06%,-21.33%,58.97%,-11.3%,"34,36,031"
PONS,Artificial Intelligence (AI),Health Care,Home Health Care,United States,Bringing Ultrasound to the mass market with AI,www.ponstech.co,soner@ponstech.co,—,Soner Haci,Seed,"$1,50,000.00",Grant,"$6,50,000.00",SOSV,Conscious Venture Lab,"Commission on Science, Innovation and Technology",HAX,EY Startup Academy,204,463.17,-79.1%,30,-91.55%,-0.75%,0%,-47.34%,"1,40,26,365"
Ressio Software,IT Management,Software,,United States,"Ressio Software is a construction management software for builders, remodelers, and contractors.",www.ressiosoftware.com/,info@ressiosoftware.com,+1 857-410-0732,,Seed,"$30,00,000.00",Seed,"$30,00,000.00",,,,,,"1,062","7,716.33",-97.07%,263,396.23%,273.26%,33.33%,-66.44%,"63,36,122"
Temelio,CRM,SaaS,Software,United States,"Temelio offers grants management software to streamline proposals, automate reporting, support engagement, and integrate with CRM tools.",www.trytemelio.com,contact@trytemelio.com,—,Ruthwick Pathireddy,Early Stage Venture,"$70,00,000.00",Series A,"$70,00,000.00",Avenue Growth Partners,,,,,"10,603","8,512.83",-4.87%,"1,012",37.5%,37.93%,43.96%,32.09%,"16,96,114"
PaintJet,Construction,Robotics,Software,United States,PaintJet is a robotics and material sciences company automating large-scale commercial and industrial painting.,paintjet.com,nick@paintjet.com,6159925656,,Early Stage Venture,"$1,00,00,000.00",Series A,"$1,35,00,000.00",Builders VC,53 Stations,Dynamo,MetaProp,Outsiders Fund,"1,074","6,744.17",98.89%,54,800%,-31.81%,98.6%,92.2%,"63,03,779"
3Jane Protocol,Blockchain,Cryptocurrency,FinTech,Panama,3Jane Protocol is a credit-based money market that permits unsecured credit lines underwritten against verifiable evidence.,www.3jane.xyz/,support@3jane.xyz.,—,,Seed,"$52,00,000.00",Seed,"$52,00,000.00",Paradigm,Coinbase Ventures,Robot Ventures,Wintermute Ventures,Bodhi Ventures,"6,489","10,005.67",99.48%,337,-92.46%,-72.69%,66.28%,51.08%,"24,39,454"
bazarr.ai,Analytics,Artificial Intelligence (AI),Retail,United States,AI-wholesale agent that generates deals between wholesalers and retailers,bazarr.ai,hello@bazarr.ai,+1 352 443 6362,Alon Shrier,Seed,"$7,00,000.00",Pre-Seed,"$7,00,000.00",Fusion,,,,,"2,813","2,215.67",-34.11%,865,50.43%,-7.8%,11.55%,-2.78%,"40,89,647"
Bone,Artificial Intelligence (AI),Drones,Manufacturing,South Korea,Bone is a full-stack robotics company focused on building autonomous drones and mission-ready AI systems.,www.bonerobotics.ai/,—,—,,Seed,"₩17,00,00,00,000",Seed,"$2,35,94,500.00",Third Prime,Bass Investment,Kolon Industries,Timepolio Asset Management,KNet Investment Partners,"1,348","1,322.67",-76.54%,0,—,-14.01%,100%,2.48%,"57,01,518"
AppClose,Apps,Legal,Legal Tech,United States,AppClose is a co-parenting app bringing more clarity and peace of mind to daily life.,www.appclose.com,talktous@appclose.com,(888)567-0727,,—,"$2,50,000.00",Debt Financing,"$73,30,000.00",,,,,,"52,857","51,258.5",49.25%,305,-42.34%,-0.98%,68.85%,-11.41%,"4,93,284"
Beyond Presence,Software,Web Development,,Colombia,Building foundational models for hyper-realistic real-time conversational digital humans.,www.beyondpresence.ai/,—,—,,Seed,"$31,00,000.00",Pre-Seed,"$31,00,000.00",10x Founders,HV Capital,Builders VC,ALBA Management GmbH,,"23,532","10,748.67",17.62%,99,-54.59%,23.45%,53.8%,-33.74%,"9,15,010"
Invopop,Compliance,Developer APIs,Financial Services,Spain,Help global companies comply with local invoicing requirements,www.invopop.com/,info@invopop.com,—,Sam Lown,Seed,"$17,00,000.00",Seed,"$23,66,309.00",Y Combinator,Target Global,Global Founders Capital,Rebel Fund,Life Extension Ventures,"7,322","3,344.33",89.84%,355,-14.46%,3.73%,47.77%,-10.69%,"22,43,552"
Recall,Apps,Data Storage,Information Services,The Netherlands,Recall is a software company that uses AI as a personal encyclopedia for knowledge management services.,getrecall.ai/,paul@recall-app.com,—,,Seed,"$15,00,000.00",Pre-Seed,"$15,00,000.00",LAUNCH,Rocket Capital,Blockchain Founders Capital,Jason Calacanis,,"4,76,306","4,49,579.67",-3.33%,525,-9.33%,-31.18%,51.1%,4.95%,"88,987"
Juxta,GPS,Location Based Services,Machine Learning,United States,"Juxta builds a GPS alternative that can track anywhere on earth with no reliance on satellites, beacons, or cameras.",www.juxta.com,info@juxta.com,858-753-8444,,Seed,"$5,00,000.00",Seed,"$11,52,000.00",Y Combinator,CRV,Pioneer Fund,The Josephine Collective,,182,—,-95.47%,69,13.11%,34.98%,72.53%,-24.92%,"1,48,11,480"
Prophetic,Artificial Intelligence (AI),Medical Device,Neuroscience,United States,Prophetic is a non-invasive neurotech company that offers neural devices to help people stabilize and induce lucid dreaming.,prophetic.com,—,—,,Seed,"$11,00,000.00",Seed,"$11,00,000.00",Andreessen Horowitz,BoxGroup,Spacecadet Ventures,Escape Velocity,O'Shaughnessy Ventures,"1,31,721","33,498.67","1,234.69%",513,76.29%,19.49%,80.54%,-13.65%,"2,45,186"
Korl,Information Technology,Software,Software Engineering,United States,Korl syncs product roadmap data and auto-generates tailored presentations for strategic information sharing.,www.korl.co,privacy@korl.co,—,Sumeet Pannu,Seed,"$50,00,000.00",Seed,"$50,00,000.00",Stage 2 Capital,MaC Venture Capital,Underscore VC,Perceptive Ventures,Diane Greene,45,—,-50.55%,0,—,-51.85%,100%,116.68%,"2,45,51,586"
AutoAce,Artificial Intelligence (AI),Automotive,B2B,United States,"AutoAce is an AI voice assistant for car dealerships that answers calls, books service, and keeps customers off hold",www.autoace.ai/,hi@autoace.ai,(617) 397-5378,Michael Wong,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,,,,,"6,886",—,433.8%,357,449.23%,-27.72%,97.28%,33.5%,"23,42,040"
TwinKnowledge,Artificial Intelligence (AI),Information Technology,,United States,TwinKnowledge is an AI platform created to improve decision-making and streamline procedures in order to expedite construction projects.,twinknowledge.com,—,—,,Seed,"$37,00,000.00",Seed,"$37,00,000.00",Camber Creek,Great Wave Ventures,,,,"9,786","2,044.17","2,435.23%",0,-75.53%,-52.4%,100%,59.52%,"18,04,379"
TrustNXT,Information Technology,Software,,Germany,"TrustNXT develops software to protect digital photos and videos from manipulation, ensuring authenticity and trust in visual media.",trustnxt.com/,info@trustnxt.com,—,Ariane Scheer-Danielsson,Seed,"€16,00,000.00",Pre-Seed,"€21,50,000.00",HTGF (High-Tech Gruenderfonds),D11Z.Ventures,,,,160,—,-39.85%,202,-79.92%,28.13%,28.12%,187.82%,"1,57,03,621"
Outfox Health,Artificial Intelligence (AI),,,United States,Outfox Health is an AI powered healthcare navigation platform offering instant cost transparency and provider recommendations.,outfoxhealth.com/,info@outfoxhealth.com,—,,Seed,"$15,00,000.00",Pre-Seed,"$16,45,000.00",Everywhere Ventures,Team Ignite Ventures,Right Side Capital Management,Forum Ventures,Two Ravens,401,—,—,0,—,—,100%,—,"99,88,680"
Clovyr,Blockchain,Software,,United States,An ecosystem of applications and services that empowers teams of all sizes to experiment .,clovyr.io/,—,—,Patrick Nielsen,—,"$68,38,116.00",Venture - Series Unknown,"$68,38,116.00",StillMark,Rose Park Advisors,,,,"3,008","10,990.83",-86.92%,5,-99.32%,1.48%,98.07%,-1.5%,"39,48,233"
Agentic Marketing Technologies,Artificial Intelligence (AI),Information Technology,Marketing,United States,Agentic Marketing Technologies builds an Autonomous Marketing Team powered by AI agents.,www.amt.ai/,—,—,Tom Hollands,Seed,"$35,00,000.00",Seed,"$35,00,000.00",NFX,,,,,"1,262","1,951.17",-68.21%,280,-72.36%,-64.67%,56.02%,10.65%,"58,69,005"
EIO Diagnostics,Agriculture,Farming,Health Care,United States,EIO Diagnostics utilizes an infrared image analysis and machine learning for early detection of mastitis in dairy cows.,eiodiagnostics.com/,tamara@eiodiagnostics.com,7782324036,Damir Wallener,—,—,Convertible Note,"$25,45,000.00",Gaingels,Techstars,SOSV,Invest Nebraska,The Yield Lab,66,—,-56.86%,6,"1,625%",100%,0%,244.47%,"2,20,20,495"
Massive Dynamic,Digital Marketing,Marketing,Software,France,Massive Dynamic is an AI based software development and digital marketing company.,www.massive-dynamic.ai/,hi@massive-dynamic.ai,—,,Seed,"€30,00,000.00",Pre-Seed,"€30,00,000.00",Founders Future,Kima Ventures,Seedcamp,Purple,Tiny Supercomputer Investment Company,148,—,-31.48%,0,1.64%,-20.29%,100%,19.33%,"1,62,43,904"
Terrantic,Apps,Software,Web Apps,United States,Terrantic develops and creates digital solutions for the fresh produce industry.,www.terrantic.com/,—,—,,Seed,"$35,00,000.00",Seed,"$52,50,000.00",Supply Change Capital,VITALIZE Venture Capital,Array Ventures,Christian Dahlen,York IE,111,—,-32.32%,8,-91.3%,-60.73%,48.65%,625.04%,"1,83,37,945"
Honeycomb,Consumer,Family,Media and Entertainment,United States,Social app for saving family memories,joinhoneycomb.com/,support@joinhoneycomb.com,—,Andrew Overton,Seed,"$40,00,000.00",Seed,"$40,00,000.00",Bling Capital,Precursor Ventures,DCM Ventures,Hyphen Capital,Stellation Capital,—,—,—,—,—,—,—,—,—
HomeZada,Consumer Software,FinTech,Generative AI,United States,"HomeZada is a digital homeowner AI platform to manage, maintain, protect, and improve your home",www.HomeZada.com,info@homezada.com,(916) 573-6210,Elizabeth Dodson,Seed,"$2,50,000.00",Grant,"$21,00,000.00",Plug and Play,Moneta Ventures,Wells Fargo,SeedInvest,MassChallenge,"8,703","9,874.5",4.02%,923,186.65%,212.97%,35.98%,-9.3%,"19,74,835"
Syncly,Artificial Intelligence (AI),B2B,Information Technology,United States,"Syncly is an AI-first customer experience intelligence solution designed to transform fragmented feedback into clear, actionable insights.",syncly.app,hello@syncly.app,—,Joseph Lee,Seed,"₩3,50,00,00,000",Seed,"$31,38,721.00",500 Global,Y Combinator,Rebel Fund,SBVA,Fast Ventures,"2,434","3,728.17",59.5%,538,-35.18%,-7.45%,57.97%,31.63%,"43,95,957"
Versos AI Inc,Film Production,Generative AI,Natural Language Processing,Canada,Video Intelligence Platform,www.versos.ai/,chris@versos.ai,—,Chris Keevill,Seed,"$18,50,000.00",Seed,"$28,10,731.00",New Brunswick Innovation Foundation,Island Capital Partners,Innovobot,RiSC Capital,Velocity Fund,429,"1,277.5",-92.41%,68,-78.67%,213.29%,34.27%,-65.73%,"96,64,138"
Pallas Security,Artificial Intelligence (AI),Cyber Security,Enterprise,United States,Pallas Security is a stealth-stage enterprise cybersecurity startup.,www.pallassecurity.com/,hello@pallassecurity.com,—,,Seed,"$20,00,000.00",Seed,"$20,00,000.00",,,,,,297,—,—,0,—,—,100%,—,"1,16,64,991"
